geneNames	start	end	chr	entrezgene
ENSG00000231240	AC018865.9	130794531	130795995	2	NA
ENSG00000196604	POTEF	130831108	130886795	2	728378
ENSG00000223760	MED15P9	130887194	130896990	2	285103
ENSG00000152076	CCDC74B	130896860	130902707	2	91409
ENSG00000136699	SMPD4	130908981	130940323	2	55627
ENSG00000152082	MZT2B	130939310	130948302	2	80097
ENSG00000152086	TUBA3E	130949318	130956034	2	112714
ENSG00000227632	AC018804.6	130959885	130970201	2	NA
ENSG00000230756	RHOQP3	130970443	130971063	2	NA
ENSG00000213225	AC018804.7	130986949	130989679	2	NA
ENSG00000136710	CCDC115	131095814	131099922	2	84317
ENSG00000136718	IMP4	131099798	131105383	2	92856
ENSG00000072135	PTPN18	131113580	131132982	2	26469
ENSG00000178162	AC140481.1	131174328	131188936	2	100216479
ENSG00000230646	AC010984.3	131185304	131186798	2	NA
ENSG00000239402	CYP4F43P	131187400	131199048	2	646802
ENSG00000196834	POTEI	131217028	131267239	2	653269
ENSG00000183292	AC140481.2	131328402	131341734	2	150527
ENSG00000136698	CFC1	131350339	131357123	2	55997
ENSG00000222038	POTEJ	131369054	131415664	2	653781
ENSG00000214081	CYP4F30P	131437623	131449264	2	100132708
ENSG00000223349	AC010984.4	131449816	131451343	2	NA
ENSG00000240253	AC140481.7	131447706	131476404	2	NA
ENSG00000173302	GPR148	131486643	131487909	2	344561
ENSG00000229797	AC140481.8	131501111	131513452	2	NA
ENSG00000178171	AMER3	131513008	131525707	2	205147
ENSG00000232503	AC140481.9	131534219	131534530	2	NA
ENSG00000233221	AC133785.1	131588551	131594567	2	NA
ENSG00000136002	ARHGEF4	131594489	131804836	2	50649
ENSG00000152102	FAM168B	131805449	131851033	2	130074
ENSG00000115762	PLEKHB2	131862420	132111282	2	55041
ENSG00000230450	NEK2P4	131935191	131936519	2	NA
ENSG00000236956	NF1P8	131947407	131955066	2	NA
ENSG00000188219	POTEE	131975882	132022965	2	445582
ENSG00000250852	AC131180.1	131975976	132022250	2	NA
ENSG00000178206	CYP4F31P	132044330	132050127	2	NA
ENSG00000231431	AC131180.4	132046326	132066641	2	440910
ENSG00000233087	AC073869.1	132118066	132121731	2	150786
ENSG00000223631	AC073869.19	132160474	132166622	2	NA
ENSG00000214077	GNAQP1	132181374	132182440	2	NA
ENSG00000217950	AC073869.20	132200167	132202467	2	401010
ENSG00000232742	RHOQP2	132218533	132219150	2	NA
ENSG00000173272	MZT2A	132222473	132250316	2	653784
ENSG00000075886	TUBA3D	132233666	132240507	2	113457
ENSG00000152117	AC093838.4	132250386	132279146	2	150776
ENSG00000163040	CCDC74A	132285248	132291239	2	90557
ENSG00000204434	POTEKP	132349325	132384839	2	NA
ENSG00000224559	LINC01087	132394598	132407188	2	101927994
ENSG00000270930	GRAMD4P8	132404277	132405945	2	NA
ENSG00000197927	C2orf27A	132479948	132524973	2	29798
ENSG00000213222	AC093724.2	132480826	132481852	2	NA
ENSG00000223588	AC103564.9	132534140	132534601	2	NA
ENSG00000186825	C2orf27B	132552534	132559234	2	408029
ENSG00000229203	AC103564.7	132587374	132589604	2	NA
ENSG00000236485	RP1-156L9.1	132741510	132751734	2	NA
ENSG00000227745	AC098826.5	132890429	132897002	2	NA
ENSG00000163046	ANKRD30BL	132905164	133015542	2	554226
ENSG00000272769	RP11-725P16.2	133103189	133104870	2	NA
ENSG00000230992	FAM201B	133110240	133112412	2	NA
ENSG00000183840	GPR39	133174147	133404132	2	2863
ENSG00000230065	AC010974.3	133418099	133424563	2	NA
ENSG00000150551	LYPD1	133402426	133429152	2	116372
ENSG00000176771	NCKAP5	133429374	134326034	2	344148
ENSG00000233729	AC016909.1	133673130	133689067	2	101928185
ENSG00000226953	AC010890.1	134022540	134042334	2	101928161
ENSG00000152127	MGAT5	134877554	135212192	2	4249
ENSG00000152128	TMEM163	135213330	135476570	2	81615
ENSG00000255674	AC013718.1	135213767	135214178	2	NA
ENSG00000224043	AC016725.4	135493034	135676280	2	NA
ENSG00000153086	ACMSD	135596117	135659604	2	130013
ENSG00000082258	CCNT2	135675805	135716912	2	905
ENSG00000176601	MAP3K19	135722061	135805038	2	80122
ENSG00000115839	RAB3GAP1	135809835	135933964	2	22930
ENSG00000121988	ZRANB3	135894486	136288806	2	84083
ENSG00000048991	R3HDM1	136289025	136482840	2	23518
ENSG00000144224	UBXN4	136499189	136542625	2	23190
ENSG00000115850	LCT	136545410	136594750	2	3938
ENSG00000226806	AC011893.3	136577761	136580657	2	100507600
ENSG00000076003	MCM6	136597196	136633996	2	4175
ENSG00000115866	DARS	136664247	136743670	2	1615
ENSG00000231890	AC093391.2	136742746	136779888	2	101928243
ENSG00000121966	CXCR4	136871919	136875735	2	7852
ENSG00000144229	THSD7B	137523115	138435287	2	80731
ENSG00000150540	HNMT	138721590	138773930	2	3176
ENSG00000233045	AC097523.1	139036144	139036780	2	NA
ENSG00000144228	SPOPL	139259371	139331117	2	339745
ENSG00000241772	AC092620.2	139326660	139332028	2	NA
ENSG00000260059	RP11-231E19.1	139357233	139359996	2	NA
ENSG00000237772	AC092620.3	139362080	139370737	2	NA
ENSG00000144227	NXPH2	139428342	139537918	2	11249
ENSG00000226939	AC062021.1	140123735	140136717	2	NA
ENSG00000168702	LRP1B	140988992	142889270	2	53353
ENSG00000229781	AC013444.1	143611664	143613567	2	NA
ENSG00000115919	KYNU	143635067	143799890	2	8942
ENSG00000075884	ARHGAP15	143848931	144525921	2	55843
ENSG00000225476	AC013437.6	143856467	143857502	2	NA
ENSG00000228655	AC096558.1	144052990	144238358	2	NA
ENSG00000258268	RP11-570L15.1	144276436	144355571	2	NA
ENSG00000232377	AC016910.1	144694640	144721723	2	101928386
ENSG00000121964	GTDC1	144695635	145090135	2	79712
ENSG00000169554	ZEB2	145141648	145282147	2	9839
ENSG00000176824	AC009951.1	145218679	145221645	2	NA
ENSG00000238057	ZEB2-AS1	145275664	145279058	2	100303491
ENSG00000226674	TEX41	145425534	145940216	2	401014
ENSG00000198526	PABPC1P2	147345012	147346878	2	NA
ENSG00000231040	AC103881.1	147595317	147607878	2	NA
ENSG00000121989	ACVR2A	148602086	148688393	2	92
ENSG00000223911	AC009480.3	148656970	148660525	2	NA
ENSG00000115947	ORC4	148687968	148779147	2	5000
ENSG00000204406	MBD5	148778580	149275805	2	55777
ENSG00000135999	EPC2	149402009	149545130	2	26122
ENSG00000231079	AC105402.4	149624039	149646351	2	NA
ENSG00000168280	KIF5C	149632819	149883273	2	3800
ENSG00000150556	LYPD6B	149894621	150071776	2	130576
ENSG00000187123	LYPD6	150186499	150330662	2	130574
ENSG00000168288	MMADHC	150426148	150444330	2	27249
ENSG00000231969	AC144449.1	150443710	150704747	2	101929231
ENSG00000162947	AC007364.1	150624020	150715705	2	NA
ENSG00000115963	RND3	151324709	151395525	2	390
ENSG00000224048	AC104777.4	151468895	151491862	2	101929282
ENSG00000184898	RBM43	152104454	152118393	2	375287
ENSG00000123609	NMI	152126979	152146571	2	9111
ENSG00000123610	TNFAIP6	152214106	152236560	2	7130
ENSG00000080345	RIF1	152266397	152364527	2	55183
ENSG00000183091	NEB	152341850	152591001	2	4703
ENSG00000162980	ARL5A	152645498	152685006	2	26225
ENSG00000182389	CACNB4	152689290	152955593	2	785
ENSG00000115145	STAM2	152973315	153032506	2	10254
ENSG00000157827	FMNL2	153191751	153506348	2	114793
ENSG00000213197	AC012066.1	153246451	153247144	2	NA
ENSG00000196504	PRPF40A	153508107	153574511	2	55660
ENSG00000177917	ARL6IP6	153574407	153617767	2	151188
ENSG00000177519	RPRM	154333852	154335322	2	56475
ENSG00000144278	GALNT13	154728426	155310361	2	114805
ENSG00000230251	PHBP4	155143102	155143938	2	NA
ENSG00000224675	AC009227.2	155292365	155313950	2	100144595
ENSG00000235949	AC061961.2	155552974	155554329	2	NA
ENSG00000162989	KCNJ3	155554811	155714863	2	3760
ENSG00000226383	AC093375.1	156868129	156881125	2	101929378
ENSG00000153234	NR4A2	157180944	157198860	2	4929
ENSG00000115159	GPD2	157291802	157470247	2	2820
ENSG00000136542	GALNT5	158114110	158170723	2	11227
ENSG00000136541	ERMN	158175137	158184225	2	57471
ENSG00000230562	FAM133DP	158236236	158236926	2	NA
ENSG00000115165	CYTIP	158271131	158345473	2	9595
ENSG00000123612	ACVR1C	158383279	158485517	2	130399
ENSG00000234584	AC019186.1	158582220	158592517	2	NA
ENSG00000115170	ACVR1	158592958	158732374	2	90
ENSG00000007001	UPP2	158733214	158992666	2	151531
ENSG00000270557	RP11-546J1.1	158734195	158735077	2	NA
ENSG00000271320	RP11-1152H14.1	158774224	158774883	2	NA
ENSG00000153237	CCDC148	159027593	159313265	2	130940
ENSG00000144283	PKP4	159313476	159539391	2	8502
ENSG00000204380	AC005042.4	159514849	159591514	2	100129029
ENSG00000163331	DAPL1	159651829	159719293	2	92196
ENSG00000251491	OR7E28P	159718823	159719797	2	NA
ENSG00000115183	TANC1	159825146	160089170	2	85461
ENSG00000213189	BTF3L4P2	159860287	159861065	2	NA
ENSG00000196151	WDSUB1	160092304	160143310	2	151525
ENSG00000123636	BAZ2B	160175490	160473203	2	29994
ENSG00000223642	AC008277.1	160242878	160261147	2	NA
ENSG00000224152	AC009506.1	160471807	160473593	2	643072
ENSG00000226266	AC009961.3	160527219	160568946	2	29994
ENSG00000136536	MARCH7	160569000	160627538	2	64844
ENSG00000241399	CD302	160625364	160654753	2	9936
ENSG00000054219	LY75	160628362	160761260	2	4065
ENSG00000153246	PLA2R1	160788519	160919121	2	22925
ENSG00000115221	ITGB6	160956177	161128399	2	3694
ENSG00000153250	RBMS1	161128662	161350305	2	5937
ENSG00000224467	AC009313.1	161952742	162016735	2	NA
ENSG00000136560	TANK	161993419	162092732	2	10010
ENSG00000235724	AC009299.2	162079296	162111179	2	101929512
ENSG00000227403	AC009299.3	162101250	162105561	2	100996579
ENSG00000115233	PSMD14	162164549	162268228	2	10213
ENSG00000232320	AC009299.5	162197325	162197837	2	NA
ENSG00000136535	TBR1	162272605	162282381	2	10716
ENSG00000224076	AC009487.4	162279170	162280088	2	NA
ENSG00000251621	AC009487.5	162280526	162285285	2	NA
ENSG00000144290	SLC4A10	162280843	162841792	2	57282
ENSG00000226121	AHCTF1P1	162357396	162364216	2	285116
ENSG00000197635	DPP4	162848751	162931052	2	1803
ENSG00000230918	AC008063.2	162929766	162931679	2	NA
ENSG00000231445	TIMM8AP1	162933867	162934161	2	NA
ENSG00000115263	GCG	162999392	163008914	2	2641
ENSG00000236841	AC007750.5	163016272	163029426	2	NA
ENSG00000078098	FAP	163027194	163101661	2	2191
ENSG00000115267	IFIH1	163123589	163175213	2	64135
ENSG00000115271	GCA	163175350	163228105	2	25801
ENSG00000184611	KCNH7	163227917	163695240	2	90134
ENSG00000237750	AC007740.1	163625446	163654482	2	101929570
ENSG00000182263	FIGN	164449906	164592522	2	55137
ENSG00000115290	GRB14	165349322	165478358	2	2888
ENSG00000082438	COBLL1	165510134	165700189	2	22837
ENSG00000224331	AC019181.3	165543797	165544106	2	NA
ENSG00000233255	AC019181.2	165697259	165705844	2	NA
ENSG00000169507	SLC38A11	165752696	165812035	2	151258
ENSG00000236283	AC013463.2	165848494	165947803	2	NA
ENSG00000153253	SCN3A	165944032	166060577	2	6328
ENSG00000136531	SCN2A	166095912	166248818	2	6326
ENSG00000178662	CSRNP3	166326157	166545917	2	80034
ENSG00000115339	GALNT3	166604101	166651192	2	2591
ENSG00000235192	AC009495.2	166651361	166666520	2	NA
ENSG00000123607	TTC21B	166713985	166810353	2	79809
ENSG00000224490	AC010127.5	166790367	166806401	2	100506134
ENSG00000236107	AC010127.3	166813909	167158294	2	101929680
ENSG00000144285	SCN1A	166845670	166984523	2	6323
ENSG00000169432	SCN9A	167051695	167232503	2	6335
ENSG00000136546	SCN7A	167260083	167350757	2	6332
ENSG00000163092	XIRP2	167744997	168116263	2	129446
ENSG00000254552	XIRP2-AS1	167980414	167997465	2	100874011
ENSG00000235335	AC016723.4	168671284	168797654	2	105616981
ENSG00000172318	B3GALT1	168675182	168730551	2	8708
ENSG00000198648	STK39	168810530	169104651	2	27347
ENSG00000172292	CERS6	169312372	169631644	2	253782
ENSG00000227617	CERS6-AS1	169628463	169643471	2	100861402
ENSG00000163072	NOSTRIN	169643049	169722024	2	115677
ENSG00000152253	SPC25	169690642	169769881	2	57405
ENSG00000152254	G6PC2	169757750	169766505	2	57818
ENSG00000073734	ABCB11	169779448	169887832	2	8647
ENSG00000073737	DHRS9	169921299	169952677	2	10170
ENSG00000081479	LRP2	169983619	170219195	2	4036
ENSG00000163093	BBS5	170335688	170382432	2	129880
ENSG00000239474	KLHL41	170366212	170382772	2	10324
ENSG00000138399	FASTKD1	170386259	170430385	2	79675
ENSG00000138398	PPIG	170440850	170497916	2	9360
ENSG00000154479	CCDC173	170501935	170550943	2	129881
ENSG00000144362	PHOSPHO2	170550975	170558218	2	493911
ENSG00000213160	KLHL23	170550998	170633499	2	151230
ENSG00000231550	PTCHD3P2	170623695	170625309	2	NA
ENSG00000138385	SSB	170648443	170668574	2	6741
ENSG00000138382	METTL5	170666591	170681441	2	29081
ENSG00000144357	UBR3	170683968	170940641	2	130507
ENSG00000227176	AC092641.2	170933734	170934804	2	NA
ENSG00000071909	MYO3B	171034655	171511681	2	140469
ENSG00000231898	AC012594.1	171190438	171207628	2	101929753
ENSG00000213981	AC007277.3	171475138	171551884	2	NA
ENSG00000222033	AC007405.2	171568961	171571077	2	440925
ENSG00000204335	SP5	171571861	171574588	2	389058
ENSG00000234350	AC007405.4	171579719	171627276	2	NA
ENSG00000128692	EIF2S2P4	171608221	171609562	2	NA
ENSG00000239467	AC007405.6	171627623	171634658	2	285141
ENSG00000204334	ERICH2	171640296	171655481	2	285141
ENSG00000128683	GAD1	171669723	171717661	2	2571
ENSG00000235934	AC007405.8	171672803	171674547	2	NA
ENSG00000115806	GORASP2	171784974	171823639	2	26003
ENSG00000198586	TLK1	171847333	172087824	2	9874
ENSG00000123600	METTL8	172173919	172291312	2	79828
ENSG00000115827	DCAF17	172290727	172341562	2	80067
ENSG00000233762	AC007969.5	172373749	172374232	2	NA
ENSG00000071967	CYBRD1	172378757	172414643	2	79901
ENSG00000077380	DYNC1I2	172543919	172604930	2	1781
ENSG00000228389	AC068039.4	172629992	172632354	2	NA
ENSG00000115840	SLC25A12	172640880	172864766	2	8604
ENSG00000128708	HAT1	172778958	172848599	2	8520
ENSG00000172878	METAP1D	172864490	172947158	2	254042
ENSG00000144355	DLX1	172949468	172954405	2	1745
ENSG00000115844	DLX2	172964167	172967628	2	1746
ENSG00000236651	AC104801.1	172967734	172974710	2	104326193
ENSG00000232555	AC104088.1	173180015	173188465	2	NA
ENSG00000091409	ITGA6	173292082	173371181	2	3655
ENSG00000226963	AC078883.4	173292502	173293331	2	NA
ENSG00000232788	AC078883.3	173328990	173330750	2	NA
ENSG00000225205	AC093818.1	173345568	173421324	2	NA
ENSG00000152256	PDK1	173420101	173489823	2	5163
ENSG00000228016	RAPGEF4-AS1	173541869	173600934	2	91149
ENSG00000091428	RAPGEF4	173600002	173917621	2	11069
ENSG00000091436	MLTK	173940163	174132738	2	51776
ENSG00000238133	MLK7-AS1	174031174	174146764	2	339751
ENSG00000144354	CDCA7	174219548	174233725	2	83879
ENSG00000224638	AC106900.6	174745593	174764156	2	NA
ENSG00000172845	SP3	174771187	174830430	2	6670
ENSG00000271151	RP11-394I13.2	174833079	174834146	2	NA
ENSG00000260868	RP11-394I13.1	174890008	174891891	2	100128905
ENSG00000138430	OLA1	174937175	175113426	2	29789
ENSG00000231453	AC018470.4	175190755	175195371	2	285084
ENSG00000138433	CIR1	175212750	175260443	2	9541
ENSG00000144306	SCRN3	175260458	175294303	2	79634
ENSG00000163328	GPR155	175296966	175351822	2	151556
ENSG00000226853	AC010894.3	175352117	175353114	2	NA
ENSG00000236449	AC018890.6	175411869	175639555	2	NA
ENSG00000115935	WIPF1	175424300	175547644	2	7456
ENSG00000235655	H3F3AP4	175584505	175585526	2	NA
ENSG00000138435	CHRNA1	175612320	175629200	2	1134
ENSG00000237104	AC018890.4	175647774	175652656	2	NA
ENSG00000128656	CHN1	175664091	175870097	2	1123
ENSG00000115966	ATF2	175936978	176033110	2	1386
ENSG00000229750	AC096649.2	176032632	176033250	2	NA
ENSG00000154518	ATP5G3	176040986	176049335	2	518
ENSG00000233131	AC096649.1	176048943	176049335	2	NA
ENSG00000144320	KIAA1715	176788620	176867567	2	80856
ENSG00000174279	EVX2	176942200	176948641	2	344191
ENSG00000128714	HOXD13	176957619	176960666	2	3239
ENSG00000170178	HOXD12	176964458	176966408	2	3238
ENSG00000128713	HOXD11	176968944	176974722	2	3237
ENSG00000128710	HOXD10	176973518	176984670	2	3236
ENSG00000237380	HOXD-AS2	176986339	177001826	2	100506783
ENSG00000128709	HOXD9	176987088	176989853	2	3235
ENSG00000175879	HOXD8	176994422	176997423	2	3234
ENSG00000128652	HOXD3	177001340	177037830	2	3232
ENSG00000272729	RP11-387A1.5	177028892	177030444	2	NA
ENSG00000224189	HOXD-AS1	177037923	177053686	2	401022
ENSG00000226363	AC009336.24	177042445	177043736	2	NA
ENSG00000128645	HOXD1	177053307	177055688	2	3231
ENSG00000218175	AC016739.2	177065636	177065980	2	NA
ENSG00000128654	MTX2	177134123	177202753	2	10651
ENSG00000272551	RP11-324L17.1	177476165	177476977	2	NA
ENSG00000163364	AC017048.3	177494317	177502659	2	375295
ENSG00000230552	AC092162.1	177588996	177684038	2	NA
ENSG00000227098	AC073636.1	177710721	177714156	2	NA
ENSG00000170144	HNRNPA3	178077291	178088686	2	220988
ENSG00000116044	NFE2L2	178092323	178257425	2	4780
ENSG00000225808	DNAJC19P5	178093919	178094234	2	NA
ENSG00000222043	AC079305.10	178129087	178130243	2	NA
ENSG00000213963	AC074286.1	178148236	178257419	2	100130691
ENSG00000018510	AGPS	178257372	178408564	2	8540
ENSG00000196659	TTC30B	178413726	178417742	2	150737
ENSG00000237655	AC073834.3	178467817	178483300	2	NA
ENSG00000197557	TTC30A	178477720	178483694	2	92104
ENSG00000128655	PDE11A	178487980	178973066	2	50940
ENSG00000229941	AC012499.1	178563157	178588017	2	105373764
ENSG00000155636	RBM45	178977151	179003738	2	129831
ENSG00000079156	OSBPL6	179059208	179264160	2	114880
ENSG00000260931	RP11-65L3.1	179265561	179267618	2	NA
ENSG00000223960	AC009948.5	179278666	179304970	2	101927027
ENSG00000180228	PRKRA	179296141	179316239	2	8575
ENSG00000204311	DFNB59	179316163	179326117	2	494513
ENSG00000238082	AC009948.7	179319443	179320155	2	NA
ENSG00000079150	FKBP7	179328391	179343327	2	51661
ENSG00000116095	PLEKHA3	179345195	179381189	2	65977
ENSG00000237298	TTN-AS1	179385910	179639402	2	100506866
ENSG00000155657	TTN	179390716	179695529	2	7273
ENSG00000270277	RP11-65L3.2	179413611	179415408	2	NA
ENSG00000271011	RP11-171I2.5	179441830	179442349	2	NA
ENSG00000270574	RP11-171I2.2	179443517	179445633	2	NA
ENSG00000271401	RP11-171I2.3	179509444	179509906	2	NA
ENSG00000267784	RP11-171I2.1	179588184	179591773	2	NA
ENSG00000266413	RP11-88L24.4	179641653	179644690	2	NA
ENSG00000163492	CCDC141	179694484	179914813	2	285025
ENSG00000187231	SESTD1	179966419	180129517	2	91404
ENSG00000237964	AC068042.1	180264455	180265602	2	NA
ENSG00000144331	ZNF385B	180306709	180726232	2	151126
ENSG00000163510	CWC22	180809603	180871840	2	57703
ENSG00000226564	FTH1P20	181737594	181738141	2	NA
ENSG00000170035	UBE2E3	181831975	181941312	2	10477
ENSG00000234663	AC104820.2	181966659	182264286	2	101927156
ENSG00000115232	ITGA4	182321929	182400914	2	3676
ENSG00000188452	CERKL	182401403	182545392	2	375298
ENSG00000162992	NEUROD1	182537815	182545603	2	4760
ENSG00000234595	AC013733.3	182547840	182550434	2	NA
ENSG00000223873	AC013733.5	182559169	182559627	2	NA
ENSG00000260742	RP11-366L5.1	182752578	182756390	2	NA
ENSG00000138434	SSFA2	182756560	182795465	2	6744
ENSG00000150722	PPP1R1C	182818968	182996125	2	151242
ENSG00000115252	PDE1A	183004763	183387919	2	5136
ENSG00000077232	DNAJC10	183580999	183659191	2	54431
ENSG00000162998	FRZB	183698002	183731890	2	2487
ENSG00000061676	NCKAP1	183773843	183903586	2	10787
ENSG00000162999	DUSP19	183943287	183964733	2	142679
ENSG00000224643	AC064871.3	183948133	183973247	2	NA
ENSG00000163002	NUP35	183982241	184026408	2	129401
ENSG00000272800	RP11-438L19.1	184079047	184080128	2	NA
ENSG00000177855	CACYBPP2	184472170	184472847	2	NA
ENSG00000170396	ZNF804A	185463093	185804219	2	91752
ENSG00000226747	AC007966.1	186584601	186605206	2	101927196
ENSG00000188738	FSIP2	186603355	186698017	2	401024
ENSG00000231646	AC008174.3	186648418	186664878	2	107985781
ENSG00000237877	AC097500.2	186897618	186947960	2	101927217
ENSG00000259915	RP11-410E4.1	187219299	187221500	2	NA
ENSG00000065548	ZC3H15	187350883	187374090	2	55854
ENSG00000138448	ITGAV	187454792	187545628	2	3685
ENSG00000227227	AC017101.10	187506066	187560014	2	NA
ENSG00000144369	FAM171B	187558698	187630685	2	165215
ENSG00000163012	ZSWIM2	187692562	187713935	2	151112
ENSG00000224063	AC007319.1	187867947	188419390	2	NA
ENSG00000064989	CALCRL	188207856	188313187	2	10203
ENSG00000003436	TFPI	188328957	188430487	2	7035
ENSG00000144366	GULP1	189156396	189460653	2	51454
ENSG00000174325	DIRC1	189598882	189654831	2	116093
ENSG00000168542	COL3A1	189839046	189877472	2	1281
ENSG00000204262	COL5A2	189896622	190044605	2	1290
ENSG00000115368	WDR75	190306159	190340291	2	84128
ENSG00000233996	AC013439.4	190351206	190352718	2	NA
ENSG00000138449	SLC40A1	190425305	190448484	2	30061
ENSG00000138381	ASNSD1	190526111	190535557	2	54529
ENSG00000151687	ANKAR	190539016	190625919	2	150709
ENSG00000128694	OSGEPL1	190611386	190627953	2	64172
ENSG00000253559	OSGEPL1-AS1	190627430	190630282	2	101409258
ENSG00000273240	RP11-455J20.3	190628585	190629182	2	NA
ENSG00000128699	ORMDL1	190635049	190649097	2	94101
ENSG00000064933	PMS1	190649107	190742355	2	5378
ENSG00000187699	C2orf88	190744335	191068210	2	84281
ENSG00000204253	HNRNPCP2	190788062	190788942	2	NA
ENSG00000138379	MSTN	190920423	190927455	2	2660
ENSG00000198130	HIBCH	191054461	191208919	2	26275
ENSG00000151689	INPP1	191208196	191236391	2	3628
ENSG00000151690	MFSD6	191273081	191373931	2	54842
ENSG00000272979	RP11-647K16.1	191318818	191319247	2	NA
ENSG00000189362	TMEM194B	191369068	191399448	2	100131211
ENSG00000233654	AC093388.3	191399581	191432828	2	NA
ENSG00000138386	NAB1	191511472	191557492	2	4664
ENSG00000228509	AC006460.2	191541670	191573442	2	NA
ENSG00000235852	AC005540.3	191745523	191746785	2	NA
ENSG00000115419	GLS	191745553	191830278	2	2744
ENSG00000115415	STAT1	191829084	191885686	2	6772
ENSG00000231858	AC067945.4	191886252	191897040	2	105373805
ENSG00000138378	STAT4	191894302	192016322	2	6775
ENSG00000227542	AC092614.2	192093891	192110898	2	NA
ENSG00000128641	MYO1B	192109911	192290115	2	4430
ENSG00000173559	NABP1	192542794	192561385	2	64859
ENSG00000225884	AC098872.3	192658151	192684976	2	NA
ENSG00000168497	SDPR	192699028	192711981	2	8436
ENSG00000233766	AC098617.1	192711265	192908909	2	NA
ENSG00000213946	DNAJB1P1	192745908	192746931	2	NA
ENSG00000144339	TMEFF2	192813769	193060435	2	23671
ENSG00000227418	PCGEM1	193614571	193641625	2	64002
ENSG00000225539	AC018799.1	195208993	195284369	2	101927406
ENSG00000234919	AC064834.3	196434352	196437694	2	105373818
ENSG00000196950	SLC39A10	196440701	196602426	2	57181
ENSG00000118997	DNAH7	196602427	196933536	2	56171
ENSG00000081320	STK17B	196998290	197041227	2	9262
ENSG00000272211	RP11-347P5.1	197015987	197019605	2	NA
ENSG00000138411	HECW2	197059094	197458416	2	57520
ENSG00000229056	AC020571.3	197124748	197128928	2	101927482
ENSG00000144395	CCDC150	197504278	197628214	2	284992
ENSG00000119041	GTF3C3	197627756	197664449	2	9330
ENSG00000187944	C2orf66	197669726	197675000	2	401027
ENSG00000197121	PGAP1	197697728	197792520	2	80055
ENSG00000065413	ANKRD44	197831741	198175897	2	91526
ENSG00000231621	AC013264.2	198062715	198063997	2	101927596
ENSG00000225979	AC010746.3	198176117	198177464	2	NA
ENSG00000115524	SF3B1	198254508	198299815	2	23451
ENSG00000115520	COQ10B	198318147	198340032	2	80219
ENSG00000144381	HSPD1	198351305	198381461	2	3329
ENSG00000115541	HSPE1	198364718	198368181	2	3336
ENSG00000115540	MOB4	198380295	198418423	2	25843
ENSG00000162944	RFTN2	198432948	198540769	2	130132
ENSG00000247626	MARS2	198570087	198573113	2	92935
ENSG00000152430	BOLL	198591603	198651486	2	66037
ENSG00000115896	PLCL1	198669426	199437305	2	5334
ENSG00000236653	AC005235.1	199164087	199239821	2	NA
ENSG00000119042	SATB2	200134223	200335989	2	23314
ENSG00000257045	RP11-486F17.1	200190033	200194085	2	NA
ENSG00000225953	SATB2-AS1	200322423	200341658	2	150538
ENSG00000238217	AC093590.1	200472791	200523855	2	101927641
ENSG00000213938	SEPHS1P6	200524274	200525452	2	NA
ENSG00000226124	FTCDNL1	200625267	200715896	2	348751
ENSG00000232732	AC073043.1	200732119	200775882	2	NA
ENSG00000178074	C2orf69	200775979	200820658	2	205327
ENSG00000162971	TYW5	200794698	200820459	2	129450
ENSG00000162972	C2orf47	200820040	200873263	2	79568
ENSG00000196141	SPATS2L	201170604	201346986	2	26010
ENSG00000155729	KCTD18	201353675	201384507	2	130535
ENSG00000163535	SGOL2	201374731	201448505	2	151246
ENSG00000138356	AOX1	201450591	201541787	2	316
ENSG00000244301	AOX3P	201542956	201603504	2	NA
ENSG00000237166	AC007163.3	201577028	201599900	2	100507140
ENSG00000243478	AOX2P	201560640	201658962	2	107161151
ENSG00000230408	AC007163.6	201645218	201676893	2	101927795
ENSG00000082153	BZW1	201675317	201688569	2	9689
ENSG00000260006	RP11-469M7.1	201689396	201692061	2	NA
ENSG00000013441	CLK1	201717732	201729422	2	1195
ENSG00000240344	PPIL3	201735630	201754026	2	53938
ENSG00000196290	NIF3L1	201754050	201768655	2	60491
ENSG00000115942	ORC2	201773696	201828403	2	4999
ENSG00000183308	AC005037.3	201827986	201873825	2	NA
ENSG00000155744	FAM126B	201838441	201936394	2	285172
ENSG00000119013	NDUFB3	201936156	201950473	2	4709
ENSG00000232719	RP11-13J8.1	201966105	201967859	2	NA
ENSG00000003402	CFLAR	201980827	202041410	2	8837
ENSG00000232133	IMPDH1P10	202002239	202004750	2	NA
ENSG00000226312	CFLAR-AS1	202005007	202022546	2	65072
ENSG00000235579	AC007283.4	202027207	202027403	2	NA
ENSG00000003400	CASP10	202047604	202094129	2	843
ENSG00000064012	CASP8	202098166	202152434	2	841
ENSG00000155749	ALS2CR12	202152994	202222121	2	130540
ENSG00000115993	TRAK2	202241930	202316302	2	66008
ENSG00000213090	AC007256.5	202275267	202278031	2	NA
ENSG00000082146	STRADB	202252581	202345569	2	55437
ENSG00000155754	ALS2CR11	202352148	202483901	2	151254
ENSG00000155755	TMEM237	202484907	202508293	2	65062
ENSG00000241790	ENO1P4	202486369	202488153	2	NA
ENSG00000082126	MPP4	202509593	202563417	2	58538
ENSG00000003393	ALS2	202565277	202645912	2	57679
ENSG00000138395	CDK15	202655184	202760273	2	65061
ENSG00000273209	RP11-107N15.1	202897493	202898260	2	NA
ENSG00000155760	FZD7	202899310	202903160	2	8324
ENSG00000182329	AC079354.1	202937978	203062585	2	100652824
